Age,DBH_Est,Stem,Branch,Leaf,Root,Biomass_Est,CI,Biomass_CI_Lower,Biomass_CI_Upper
0.0,2.0,0.7598,0.1644,0.916,0.2238,2.0641,0.0,2.0641,2.0641
0.25,2.2131,0.9542,0.2173,1.0013,0.2738,2.4466,0.4348,2.0119,2.8814
0.5,2.5418,1.3029,0.3183,1.131,0.3606,3.1129,0.947,2.1659,4.0599
0.75,2.926,1.7882,0.4692,1.2801,0.4772,4.0147,1.5164,2.4983,5.5312
1.0,3.3452,2.4167,0.6786,1.4401,0.623,5.1584,2.1363,3.0221,7.2947
1.25,3.7879,3.1962,0.9558,1.6065,0.7978,6.5562,2.7938,3.7624,9.35
1.5,4.2462,4.1326,1.3095,1.7763,1.0014,8.2198,3.4728,4.747,11.6927
1.75,4.7149,5.2299,1.7474,1.9476,1.2334,10.1583,4.1562,6.0021,14.3146
2.0,5.1896,6.4894,2.2762,2.1191,1.4929,12.3776,4.8274,7.5503,17.205
2.25,5.6672,7.9107,2.9012,2.2897,1.7788,14.8805,5.4711,9.4094,20.3516
2.5,6.1452,9.4912,3.6266,2.4588,2.0899,17.6666,6.0744,11.5922,23.741
2.75,6.6216,11.227,4.4552,2.6257,2.4248,20.7326,6.6266,14.106,27.3592
3.0,7.0947,13.1125,5.3885,2.79,2.7818,24.0728,7.1196,16.9532,31.1924
3.25,7.5633,15.1413,6.4271,2.9515,3.1594,27.6793,7.5481,20.1312,35.2274
3.5,8.0262,17.3061,7.5704,3.1098,3.556,31.5423,7.909,23.6332,39.4513
3.75,8.4826,19.5988,8.8169,3.2648,3.9698,35.6503,8.2019,27.4484,43.8521
4.0,8.9318,22.0108,10.1643,3.4164,4.3991,39.9906,8.4283,31.5624,48.4189
4.25,9.3732,24.5335,11.6094,3.5645,4.8424,44.5497,8.592,35.9578,53.1417
4.5,9.8064,27.1576,13.1486,3.709,5.298,49.3131,8.6985,40.6146,58.0116
4.75,10.2309,29.874,14.7776,3.8499,5.7642,54.2657,8.7551,45.5106,63.0208
