Age,DBH_Est,Leaf,LeaflessAGB,StumpRoot,Biomass_Est,CI,Biomass_CI_Lower,Biomass_CI_Upper
0.0,2.0,0.0109,0.3549,0.1352,0.501,0.0,0.501,0.501
0.25,2.2131,0.014,0.4704,0.1736,0.658,0.1848,0.4732,0.8429
0.5,2.5418,0.0198,0.6915,0.2444,0.9558,0.4422,0.5136,1.398
0.75,2.926,0.0282,1.0231,0.3461,1.3974,0.774,0.6234,2.1714
1.0,3.3452,0.0394,1.4852,0.4817,2.0063,1.1803,0.826,3.1866
1.25,3.7879,0.0538,2.0989,0.6548,2.8074,1.6541,1.1533,4.4615
1.5,4.2462,0.0715,2.8844,0.8682,3.8242,2.1838,1.6404,6.008
1.75,4.7149,0.0929,3.8599,1.1244,5.0773,2.7548,2.3225,7.8321
2.0,5.1896,0.1181,5.0411,1.4251,6.5843,3.3511,3.2332,9.9354
2.25,5.6672,0.1472,6.4408,1.7713,8.3592,3.9566,4.4026,12.3158
2.5,6.1452,0.1802,8.0688,2.1635,10.4125,4.5557,5.8568,14.9683
2.75,6.6216,0.2172,9.9324,2.6016,12.7511,5.1346,7.6166,17.8857
3.0,7.0947,0.2581,12.0356,3.0851,15.3788,5.6809,9.6979,21.0598
3.25,7.5633,0.3028,14.3803,3.6131,18.2962,6.1849,12.1113,24.4811
3.5,8.0262,0.3512,16.9657,4.1841,21.5011,6.6391,14.862,28.1401
3.75,8.4826,0.4033,19.7888,4.7966,24.9887,7.0383,17.9503,32.027
4.0,8.9318,0.4588,22.8447,5.4486,28.7521,7.3802,21.3719,36.1323
4.25,9.3732,0.5176,26.1268,6.1381,32.7824,7.6647,25.1177,40.4471
4.5,9.8064,0.5794,29.6269,6.8626,37.069,7.8938,29.1752,44.9628
4.75,10.2309,0.6442,33.3358,7.62,41.5999,8.0721,33.5279,49.672
5.0,10.6466,0.7116,37.2429,8.4076,46.3621,8.2058,38.1563,54.5678
5.25,11.0531,0.7814,41.3369,9.2231,51.3414,8.303,43.0384,59.6444
5.5,11.4505,0.8535,45.606,10.0637,56.5232,8.3733,48.1499,64.8965
5.75,11.8385,0.9277,50.0376,10.9271,61.8923,8.4272,53.4651,70.3196
6.0,12.217,1.0036,54.6191,11.8106,67.4332,8.4761,58.9571,75.9093
6.25,12.5862,1.0811,59.3373,12.7118,73.1303,8.5312,64.5991,81.6615
6.5,12.9461,1.16,64.1794,13.6284,78.9678,8.6033,70.3645,87.5711
6.75,13.2965,1.2401,69.1323,14.5579,84.9303,8.7019,76.2284,93.6322
7.0,13.6377,1.3211,74.1832,15.4981,91.0024,8.8348,82.1676,99.8373
7.25,13.9698,1.403,79.3194,16.4468,97.1692,9.0074,88.1618,106.1766
7.5,14.2927,1.4855,84.5285,17.402,103.416,9.2224,94.1936,112.6384
7.75,14.6068,1.5684,89.7986,18.3617,109.7287,9.48,100.2486,119.2087
8.0,14.912,1.6515,95.1182,19.3239,116.0936,9.7781,106.3155,125.8717
8.25,15.2085,1.7348,100.4759,20.2869,122.4977,10.1124,112.3853,132.6101
8.5,15.4965,1.8181,105.8612,21.2491,128.9284,10.4774,118.451,139.4058
8.75,15.7762,1.9012,111.2638,22.2089,135.3739,10.8667,124.5072,146.2406
9.0,16.0476,1.984,116.6741,23.1648,141.8229,11.2734,130.5496,153.0963
9.25,16.3111,2.0664,122.0829,24.1155,148.2648,11.6905,136.5743,159.9553
9.5,16.5667,2.1483,127.4816,25.0596,154.6895,12.1115,142.578,166.8009
9.75,16.8146,2.2295,132.862,25.9961,161.0877,12.53,148.5577,173.6177
10.0,17.055,2.3101,138.2167,26.9239,167.4507,12.9404,154.5103,180.3911
10.25,17.2881,2.3898,143.5385,27.842,173.7703,13.3377,160.4327,187.108
10.5,17.5141,2.4686,148.8209,28.7496,180.0391,13.7174,166.3217,193.7565
10.75,17.7331,2.5465,154.0579,29.6457,186.2501,14.0758,172.1743,200.3259
11.0,17.9453,2.6233,159.2439,30.5298,192.397,14.4098,177.9872,206.8068
11.25,18.1509,2.6991,164.3738,31.4011,198.4739,14.7168,183.7571,213.1908
11.5,18.3501,2.7737,169.4429,32.2591,204.4757,14.995,189.4807,219.4707
11.75,18.543,2.8471,174.4472,33.1033,210.3976,15.2428,195.1548,225.6404
12.0,18.7299,2.9194,179.3827,33.9332,216.2353,15.4594,200.7759,231.6947
12.25,18.9108,2.9903,184.2462,34.7485,221.985,15.6443,206.3407,237.6293
12.5,19.0859,3.06,189.0346,35.5489,227.6435,15.7975,211.8459,243.441
12.75,19.2555,3.1284,193.7452,36.334,233.2076,15.9195,217.2882,249.1271
13.0,19.4196,3.1955,198.3759,37.1037,238.6751,16.011,222.6641,254.686
13.25,19.5784,3.2612,202.9245,37.8578,244.0436,16.0731,227.9705,260.1166
13.5,19.7321,3.3256,207.3895,38.5962,249.3113,16.1073,233.2041,265.4186
13.75,19.8809,3.3886,211.7695,39.3188,254.4769,16.1154,238.3615,270.5923
14.0,20.0248,3.4502,216.0633,40.0256,259.5391,16.0995,243.4397,275.6386
