Age,DBH_Est,Stem,Branch,Leaf,Root,Biomass_Est,CI,Biomass_CI_Lower,Biomass_CI_Upper
0,2,0.7598,0.1644,0.916,0.2238,2.0641,0,2.0641,2.0641
1,4.1035,3.8268,1.1917,1.7237,0.9356,7.6778,0.6031,7.0746,8.2809
2,6.0536,9.1761,3.4797,2.4265,2.0284,17.1107,1.7267,15.3839,18.8374
3,7.8567,16.4949,7.138,3.052,3.4081,30.093,3.1952,26.8978,33.2881
4,9.5194,25.4023,12.1151,3.6133,4.9938,46.1245,4.8047,41.3198,50.9292
5,11.048,35.5102,18.2627,4.119,6.7167,64.6087,6.3696,58.2391,70.9783
6,12.4491,46.4511,25.3788,4.5752,8.5185,84.9236,7.7444,77.1792,92.668
7,13.7292,57.8909,33.2366,4.9865,10.3506,106.4646,8.8365,97.6281,115.3011
8,14.8948,69.5363,41.6046,5.357,12.173,128.6709,9.6124,119.0585,138.2833
9,15.9522,81.1367,50.2614,5.6902,13.9535,151.0419,10.1005,140.9414,161.1424
10,16.9081,92.4847,59.005,5.989,15.6671,173.1458,10.3889,162.7569,183.5347
11,17.769,103.4144,67.6586,6.2564,17.2946,194.6241,10.6138,184.0103,205.2379
12,18.5412,113.7993,76.0746,6.495,18.8227,215.1916,10.93,204.2615,226.1216
13,19.2313,123.5491,84.1353,6.7071,20.2428,234.6343,11.4611,223.1732,246.0954
14,19.8458,132.6066,91.7534,6.8953,21.5505,252.8057,12.2497,240.556,265.0553
15,20.3911,140.9439,98.8704,7.0617,22.7451,269.6211,13.2414,256.3797,282.8625
16,20.8738,148.5596,105.4549,7.2085,23.8292,285.0522,14.3114,270.7407,299.3636
17,21.3003,155.4746,111.4999,7.3379,24.8081,299.1205,15.3085,283.812,314.429
18,21.6771,161.7297,117.0206,7.4519,25.6892,311.8914,16.0944,295.797,327.9858
19,22.0107,167.3822,122.0509,7.5527,26.482,323.4679,16.5786,306.8892,340.0465
20,22.3075,172.5034,126.6416,7.6422,27.1977,333.985,16.7613,317.2236,350.7463
21,22.5742,177.1763,130.8573,7.7225,27.8485,343.6047,16.8036,326.8011,360.4083
22,22.8171,181.4934,134.7745,7.7956,28.4481,352.5115,17.1302,335.3814,369.6417
23,23.0427,185.5555,138.4794,7.8633,29.0108,360.909,18.4872,342.4218,379.3962
24,23.2576,189.47,142.0671,7.9278,29.5516,369.0165,21.7482,347.2684,390.7647
25,23.4681,193.3505,145.64,7.9909,30.0865,377.0679,27.5063,349.5616,404.5742
26,23.6809,197.3158,149.3078,8.0546,30.6318,385.31,35.9659,349.3441,421.276
27,23.9023,201.4904,153.1872,8.1208,31.2046,394.0029,47.1802,346.8228,441.1831
28,24.1389,206.0046,157.4025,8.1915,31.8224,403.4209,61.2395,342.1814,464.6605
29,24.3972,210.9953,162.0871,8.2685,32.5036,413.8545,78.3268,335.5277,492.1813
30,24.6836,216.6075,167.3849,8.3538,33.2674,425.6136,98.72,326.8936,524.3335
31,25.0046,222.9955,173.4527,8.4493,34.134,439.0316,122.7911,316.2405,561.8227
32,25.3667,230.3256,180.4637,8.5568,35.1249,454.471,151.0102,303.4608,605.4812
33,25.7764,238.778,188.6108,8.6783,36.2631,472.3302,183.9557,288.3745,656.2858
34,26.2402,248.5507,198.1116,8.8155,37.5732,493.051,222.3294,270.7217,715.3804
35,26.7645,259.8625,209.2139,8.9702,39.0823,517.129,266.9765,250.1525,784.1055
