Age,DBH_Est,Leaf,LeaflessAGB,StumpRoot,Biomass_Est,CI,Biomass_CI_Lower,Biomass_CI_Upper
0,2,0.0109,0.3549,0.1352,0.501,0,0.501,0.501
1,4.1035,0.0657,2.6226,0.7979,3.4863,0.3726,3.1137,3.8589
2,6.0536,0.1736,7.7387,2.0847,9.997,1.2864,8.7105,11.2834
3,7.8567,0.333,15.9874,3.9693,20.2897,2.6591,17.6306,22.9488
4,9.5194,0.538,27.2762,6.3772,34.1914,4.3115,29.8799,38.5029
5,11.048,0.7805,41.2835,9.2125,51.2765,6.0407,45.2358,57.3171
6,12.4491,1.0519,57.5557,12.3725,70.9801,7.6635,63.3165,78.6436
7,13.7292,1.3434,75.5761,15.7561,92.6756,9.0442,83.6314,101.7197
8,14.8948,1.6468,94.8131,19.2689,115.7288,10.111,105.6178,125.8398
9,15.9522,1.9547,114.7544,22.8262,139.5353,10.8663,128.669,150.4016
10,16.9081,2.2607,134.9299,26.3549,163.5455,11.3882,152.1573,174.9336
11,17.769,2.5594,154.9269,29.7941,187.2804,11.8196,175.4609,199.1
12,18.5412,2.8464,174.399,33.0952,210.3406,12.3349,198.0056,222.6755
13,19.2313,3.1186,193.0691,36.2214,232.4091,13.0815,219.3276,245.4906
14,19.8458,3.3736,210.7302,39.1475,253.2514,14.117,239.1343,267.3684
15,20.3911,3.6101,227.2427,41.8584,272.7112,15.3863,257.325,288.0975
16,20.8738,3.8274,242.5302,44.3485,290.7061,16.7476,273.9585,307.4536
17,21.3003,4.0259,256.5735,46.6203,307.2197,18.0234,289.1962,325.2431
18,21.6771,4.2062,269.4051,48.6839,322.2952,19.0482,303.247,341.3433
19,22.0107,4.3698,281.1023,50.5555,336.0276,19.7105,316.3171,355.7381
20,22.3075,4.5186,291.7814,52.2565,348.5564,20.0069,328.5496,368.5633
21,22.5742,4.6548,301.5914,53.8129,360.0591,20.1277,339.9313,380.1868
22,22.8171,4.781,310.7094,55.2544,370.7448,20.5836,350.1612,391.3283
23,23.0427,4.9,319.3359,56.6138,380.8498,22.2783,358.5715,403.1281
24,23.2576,5.015,327.6916,57.9267,390.6333,26.2792,364.3541,416.9124
25,23.4681,5.1292,336.015,59.2307,400.3749,33.3244,367.0505,433.6993
26,23.6809,5.2462,344.5615,60.5659,410.3736,43.688,366.6856,454.0616
27,23.9023,5.3697,353.6032,61.9744,420.9472,57.4649,363.4823,478.4121
28,24.1389,5.5035,363.4305,63.5007,432.4346,74.8019,357.6328,507.2365
29,24.3972,5.6518,374.3548,65.1919,445.1986,95.9674,349.2311,541.166
30,24.6836,5.8191,386.7128,67.0985,459.6303,121.3601,338.2702,580.9904
31,25.0046,6.01,400.8718,69.2745,476.1563,151.5115,324.6447,627.6678
32,25.3667,6.2299,417.2376,71.7789,495.2464,187.0973,308.1491,682.3437
33,25.7764,6.4844,436.2633,74.6765,517.4242,228.9561,288.4681,746.3802
34,26.2402,6.7799,458.4605,78.0392,543.2796,278.1163,265.1633,821.396
35,26.7645,7.1236,484.4127,81.9478,573.484,335.8307,237.6533,909.3147
