Age,DBH_Est,Stem,Branch,Leaf,Root,Biomass_Est,CI,Biomass_CI_Lower,Biomass_CI_Upper
0.0,2.0,0.7598,0.1644,0.916,0.2238,2.0641,0.0,2.0641,2.0641
0.25,2.4482,1.1975,0.2871,1.0943,0.3347,2.9136,0.2848,2.6288,3.1984
0.5,2.899,1.7513,0.4574,1.2697,0.4685,3.947,0.6425,3.3045,4.5894
0.75,3.3516,2.4271,0.6822,1.4425,0.6253,5.1771,1.0657,4.1115,6.2428
1.0,3.8052,3.2291,0.9679,1.613,0.8051,6.6151,1.5448,5.0703,8.1598
1.25,4.2591,4.1609,1.3205,1.781,1.0075,8.27,2.0688,6.2011,10.3388
1.5,4.7128,5.2246,1.7452,1.9469,1.2323,10.1491,2.6261,7.5229,12.7752
1.75,5.1653,6.4215,2.247,2.1104,1.4791,12.258,3.2047,9.0533,15.4627
2.0,5.6163,7.7518,2.83,2.2716,1.7472,14.6006,3.7927,10.8079,18.3932
2.25,6.065,9.2147,3.4976,2.4305,2.036,17.1789,4.3786,12.8002,21.5575
2.5,6.5108,10.8089,4.2528,2.587,2.3447,19.9933,4.952,15.0414,24.9453
2.75,6.9533,12.5318,5.0976,2.741,2.6725,23.0429,5.503,17.5399,28.546
3.0,7.3919,14.3803,6.0337,2.8925,3.0185,26.3251,6.0234,20.3017,32.3484
3.25,7.8262,16.3508,7.0617,3.0415,3.3817,29.8357,6.5059,23.3298,36.3416
3.5,8.2556,18.4387,8.1819,3.1878,3.7611,33.5695,6.9449,26.6246,40.5144
3.75,8.6799,20.6391,9.3937,3.3315,4.1556,37.5199,7.3363,30.1836,44.8562
4.0,9.0987,22.9465,10.6962,3.4725,4.5642,41.6794,7.6775,34.0019,49.3569
4.25,9.5115,25.3553,12.0876,3.6107,4.9856,46.0393,7.9674,38.0719,54.0066
4.5,9.9182,27.8591,13.5659,3.7462,5.4189,50.5901,8.2065,42.3836,58.7966
4.75,10.3184,30.4516,15.1284,3.8788,5.8627,55.3215,8.3969,46.9246,63.7184
5.0,10.7119,33.1261,16.772,4.0086,6.3161,60.2228,8.5421,51.6807,68.7649
5.25,11.0984,35.8757,18.4933,4.1356,6.7778,65.2824,8.647,56.6355,73.9294
5.5,11.4778,38.6937,20.2884,4.2597,7.2468,70.4886,8.7175,61.7711,79.2061
5.75,11.85,41.573,22.1533,4.3809,7.722,75.8292,8.761,67.0682,84.5902
6.0,12.2147,44.5068,24.0835,4.4993,8.2022,81.2918,8.7854,72.5064,90.0773
6.25,12.5719,47.488,26.0747,4.6148,8.6865,86.8641,8.7996,78.0645,95.6636
6.5,12.9215,50.51,28.1219,4.7275,9.1739,92.5334,8.8123,83.7211,101.3457
6.75,13.2634,53.5661,30.2206,4.8374,9.6634,98.2874,8.8326,89.4547,107.12
7.0,13.5976,56.6497,32.3656,4.9444,10.154,104.1136,8.8687,95.2449,112.9824
7.25,13.924,59.7545,34.5521,5.0487,10.6448,110.0001,8.928,101.0721,118.9281
7.5,14.2426,62.8744,36.7752,5.1502,11.1352,115.935,9.0164,106.9186,124.9513
7.75,14.5535,66.0036,39.0299,5.2489,11.6241,121.9066,9.1379,112.7687,131.0444
8.0,14.8566,69.1363,41.3115,5.3449,12.111,127.9037,9.2947,118.609,137.1984
8.25,15.152,72.2672,43.6152,5.4383,12.595,133.9157,9.487,124.4287,143.4026
8.5,15.4398,75.3911,45.9362,5.5291,13.0756,139.932,9.713,130.219,149.645
8.75,15.72,78.5033,48.2702,5.6172,13.5521,145.9428,9.9695,135.9733,155.9123
9.0,15.9926,81.5992,50.6126,5.7028,14.0239,151.9386,10.252,141.6866,162.1906
9.25,16.2578,84.6745,52.9595,5.7859,14.4905,157.9104,10.5552,147.3553,168.4656
9.5,16.5156,87.7253,55.3066,5.8666,14.9515,163.85,10.8733,152.9767,174.7232
9.75,16.7662,90.7478,57.6502,5.9448,15.4064,169.7492,11.2004,158.5488,180.9496
10.0,17.0097,93.7386,59.9866,6.0206,15.8549,175.6007,11.5309,164.0698,187.1315
10.25,17.2461,96.6946,62.3123,6.0942,16.2965,181.3976,11.8591,169.5385,193.2567
10.5,17.4756,99.6129,64.6242,6.1655,16.7309,187.1335,12.1802,174.9533,199.3137
10.75,17.6983,102.491,66.9192,6.2345,17.1579,192.8026,12.4896,180.313,205.2922
11.0,17.9143,105.3264,69.1944,6.3014,17.5773,198.3995,12.7833,185.6162,211.1827
11.25,18.1238,108.1171,71.4472,6.3662,17.9887,203.9192,13.0579,190.8613,216.9771
11.5,18.3268,110.8612,73.6752,6.4289,18.3921,209.3574,13.3106,196.0468,222.6679
11.75,18.5236,113.557,75.8762,6.4896,18.7873,214.71,13.5391,201.1709,228.2491
12.0,18.7143,116.2032,78.048,6.5483,19.1741,219.9736,13.7417,206.232,233.7153
12.25,18.899,118.7984,80.189,6.6051,19.5525,225.145,13.917,211.228,239.0621
12.5,19.0778,121.3418,82.2973,6.66,19.9225,230.2216,14.0644,216.1572,244.286
12.75,19.2509,123.8324,84.3716,6.7131,20.2839,235.201,14.1835,221.0175,249.3845
13.0,19.4184,126.2695,86.4106,6.7645,20.6367,240.0813,14.2744,225.8069,254.3556
13.25,19.5805,128.6527,88.4129,6.8141,20.981,244.8608,14.3375,230.5233,259.1983
13.5,19.7373,130.9817,90.3778,6.8621,21.3167,249.5382,14.3738,235.1645,263.912
13.75,19.8889,133.2561,92.3043,6.9085,21.6439,254.1127,14.3844,239.7283,268.4971
14.0,20.0355,135.476,94.1917,6.9532,21.9626,258.5835,14.3709,244.2126,272.9543
14.25,20.1773,137.6413,96.0395,6.9965,22.2729,262.9501,14.335,248.6151,277.2851
14.5,20.3143,139.7522,97.8471,7.0383,22.5749,267.2124,14.2789,252.9335,281.4914
14.75,20.4466,141.809,99.6144,7.0786,22.8686,271.3706,14.205,257.1655,285.5756
15.0,20.5745,143.8121,101.341,7.1175,23.1542,275.4247,14.1159,261.3087,289.5406
15.25,20.6981,145.7618,103.0268,7.1551,23.4317,279.3753,14.0145,265.3608,293.3899
15.5,20.8174,147.6586,104.6718,7.1914,23.7013,283.2232,13.9038,269.3194,297.127
15.75,20.9326,149.5033,106.2762,7.2264,23.9631,286.9689,13.7871,273.1819,300.756
16.0,21.0438,151.2964,107.8399,7.2601,24.2172,290.6137,13.6678,276.9459,304.2814
16.25,21.1512,153.0386,109.3633,7.2927,24.4638,294.1585,13.5494,280.6091,307.7079
16.5,21.2549,154.7307,110.8466,7.3241,24.703,297.6045,13.4356,284.1689,311.0401
16.75,21.3549,156.3736,112.2903,7.3544,24.9349,300.9532,13.3302,287.623,314.2833
17.0,21.4514,157.9679,113.6946,7.3837,25.1597,304.2059,13.2366,290.9692,317.4425
17.25,21.5446,159.5147,115.06,7.4119,25.3776,307.3642,13.1587,294.2055,320.5229
17.5,21.6344,161.0148,116.3871,7.439,25.5887,310.4296,13.0998,297.3298,323.5294
17.75,21.7211,162.4692,117.6764,7.4652,25.7931,313.4038,13.0632,300.3406,326.467
18.0,21.8046,163.8787,118.9284,7.4905,25.991,316.2886,13.0519,303.2368,329.3405
18.25,21.8852,165.2445,120.1439,7.5148,26.1825,319.0857,13.0684,306.0174,332.1541
18.5,21.963,166.5674,121.3233,7.5383,26.3679,321.7969,13.1149,308.682,334.9118
18.75,22.0379,167.8484,122.4675,7.5609,26.5472,324.424,13.1931,311.2309,337.6171
19.0,22.1101,169.0885,123.577,7.5827,26.7207,326.969,13.3042,313.6648,340.2732
19.25,22.1798,170.2888,124.6526,7.6037,26.8885,329.4335,13.4488,315.9847,342.8824
19.5,22.2469,171.4501,125.6949,7.624,27.0507,331.8197,13.627,318.1926,345.4467
19.75,22.3116,172.5736,126.7048,7.6435,27.2075,334.1293,13.8385,320.2908,347.9678
20.0,22.3739,173.6602,127.6829,7.6622,27.359,336.3643,14.0824,322.2818,350.4467
20.25,22.434,174.7108,128.6299,7.6803,27.5054,338.5264,14.3575,324.1689,352.884
20.5,22.4919,175.7265,129.5467,7.6978,27.6468,340.6178,14.6623,325.9554,355.2801
20.75,22.5476,176.7082,130.4339,7.7146,27.7834,342.6401,14.995,327.6451,357.6351
21.0,22.6014,177.6568,131.2923,7.7307,27.9154,344.5952,15.3536,329.2417,359.9488
21.25,22.6531,178.5734,132.1227,7.7463,28.0428,346.4851,15.736,330.7491,362.2211
21.5,22.703,179.4588,132.9257,7.7613,28.1657,348.3115,16.1401,332.1714,364.4517
21.75,22.751,180.3139,133.7021,7.7757,28.2845,350.0762,16.5638,333.5124,366.64
22.0,22.7973,181.1396,134.4527,7.7896,28.399,351.781,17.0049,334.7762,368.7859
22.25,22.8418,181.9369,135.1781,7.803,28.5096,353.4276,17.4612,335.9664,370.8889
22.5,22.8848,182.7066,135.879,7.8159,28.6163,355.0178,17.931,337.0869,372.9488
22.75,22.9261,183.4495,136.5562,7.8283,28.7192,356.5532,18.4121,338.1411,374.9653
23.0,22.9659,184.1664,137.2104,7.8403,28.8185,358.0355,18.9029,339.1327,376.9384
23.25,23.0042,184.8582,137.8421,7.8518,28.9143,359.4664,19.4016,340.0648,378.8679
23.5,23.0411,185.5257,138.4521,7.8629,29.0066,360.8473,19.9066,340.9406,380.7539
23.75,23.0766,186.1696,139.0411,7.8735,29.0957,362.1799,20.4166,341.7632,382.5965
24.0,23.1108,186.7907,139.6096,7.8838,29.1816,363.4656,20.9302,342.5355,384.3958
24.25,23.1437,187.3897,140.1584,7.8937,29.2644,364.7061,21.446,343.2601,386.1521
24.5,23.1754,187.9674,140.6879,7.9032,29.3442,365.9026,21.963,343.9396,387.8657
24.75,23.2059,188.5244,141.1989,7.9123,29.4211,367.0567,22.4802,344.5765,389.5369
25.0,23.2353,189.0615,141.6919,7.9211,29.4952,368.1697,22.9965,345.1732,391.1662
25.25,23.2635,189.5793,142.1674,7.9296,29.5667,369.243,23.5111,345.7319,392.7541
25.5,23.2907,190.0784,142.6261,7.9377,29.6356,370.2778,24.0232,346.2546,394.301
25.75,23.3169,190.5595,143.0685,7.9456,29.7019,371.2755,24.5321,346.7434,395.8076
26.0,23.3421,191.0231,143.4951,7.9532,29.7659,372.2373,25.0372,347.2001,397.2745
26.25,23.3664,191.47,143.9065,7.9604,29.8275,373.1643,25.5379,347.6265,398.7022
26.5,23.3897,191.9006,144.3031,7.9674,29.8868,374.0579,26.0336,348.0243,400.0915
26.75,23.4122,192.3155,144.6854,7.9742,29.944,374.919,26.5239,348.3951,401.4429
27.0,23.4338,192.7152,145.054,7.9806,29.999,375.7489,27.0084,348.7405,402.7572
27.25,23.4546,193.1003,145.4092,7.9869,30.0521,376.5485,27.4867,349.0618,404.0351
27.5,23.4747,193.4713,145.7516,7.9929,30.1032,377.3189,27.9584,349.3605,405.2774
27.75,23.4939,193.8287,146.0815,7.9986,30.1524,378.0612,28.4234,349.6378,406.4846
28.0,23.5125,194.173,146.3994,8.0042,30.1997,378.7763,28.8814,349.895,407.6577
28.25,23.5303,194.5045,146.7058,8.0095,30.2454,379.4652,29.3321,350.1331,408.7972
28.5,23.5475,194.8239,147.0009,8.0147,30.2893,380.1287,29.7753,350.3534,409.904
28.75,23.564,195.1314,147.2852,8.0196,30.3316,380.7678,30.211,350.5568,410.9788
29.0,23.5799,195.4276,147.5592,8.0244,30.3723,381.3834,30.639,350.7444,412.0224
29.25,23.5952,195.7127,147.823,8.0289,30.4115,381.9762,31.0591,350.9171,413.0354
29.5,23.6099,195.9873,148.0772,8.0333,30.4493,382.5471,31.4714,351.0757,414.0185
29.75,23.624,196.2517,148.3219,8.0376,30.4856,383.0969,31.8758,351.2211,414.9726
30.0,23.6377,196.5063,148.5577,8.0417,30.5206,383.6262,32.2721,351.3541,415.8984
