Age,DBH_Est,Leaf,LeaflessAGB,StumpRoot,Biomass_Est,CI,Biomass_CI_Lower,Biomass_CI_Upper
0.0,2.0,0.0109,0.3549,0.1352,0.501,0.0,0.501,0.501
0.25,2.4482,0.0181,0.623,0.2228,0.8639,0.1297,0.7342,0.9936
0.5,2.899,0.0276,0.9971,0.3382,1.3629,0.3261,1.0368,1.689
0.75,3.3516,0.0396,1.4931,0.484,2.0166,0.5894,1.4272,2.6061
1.0,3.8052,0.0544,2.1257,0.6622,2.8423,0.9168,1.9255,3.7592
1.25,4.2591,0.0721,2.9089,0.8748,3.8557,1.303,2.5528,5.1587
1.5,4.7128,0.0928,3.8552,1.1232,5.0712,1.7402,3.3309,6.8114
1.75,5.1653,0.1168,4.9759,1.4087,6.5014,2.2198,4.2816,8.7211
2.0,5.6163,0.1439,6.2811,1.7322,8.1572,2.7315,5.4257,10.8887
2.25,6.065,0.1744,7.779,2.0943,10.0478,3.2648,6.7829,13.3126
2.5,6.5108,0.2082,9.4768,2.4954,12.1804,3.8091,8.3713,15.9896
2.75,6.9533,0.2454,11.3797,2.9354,14.5605,4.3539,10.2067,18.9144
3.0,7.3919,0.2859,13.4916,3.4142,17.1917,4.8891,12.3026,22.0808
3.25,7.8262,0.3298,15.8147,3.9312,20.0757,5.4058,14.6699,25.4815
3.5,8.2556,0.3769,18.3499,4.4858,23.2125,5.8959,17.3166,29.1085
3.75,8.6799,0.4271,21.0964,5.0769,26.6005,6.3528,20.2477,32.9533
4.0,9.0987,0.4805,24.0522,5.7035,30.2362,6.7711,23.4651,37.0073
4.25,9.5115,0.5369,27.2138,6.3642,34.1149,7.1472,26.9677,41.2621
4.5,9.9182,0.5961,30.5767,7.0576,38.2303,7.4791,30.7512,45.7094
4.75,10.3184,0.658,34.135,7.7819,42.5749,7.7664,34.8086,50.3413
5.0,10.7119,0.7225,37.8819,8.5356,47.14,8.0103,39.1297,55.1504
5.25,11.0984,0.7895,41.8098,9.3166,51.9159,8.214,43.7019,60.1299
5.5,11.4778,0.8586,45.9101,10.1232,56.8919,8.3819,48.51,65.2738
5.75,11.85,0.9299,50.1734,10.9534,62.0567,8.5201,53.5366,70.5768
6.0,12.2147,1.0031,54.59,11.805,67.3981,8.6359,58.7622,76.034
6.25,12.5719,1.078,59.1494,12.6761,72.9036,8.7375,64.166,81.6411
6.5,12.9215,1.1545,63.841,13.5646,78.5601,8.8339,69.7262,87.3941
6.75,13.2634,1.2324,68.6538,14.4684,84.3545,8.9343,75.4203,93.2888
7.0,13.5976,1.3114,73.5763,15.3855,90.2733,9.0474,81.2259,99.3207
7.25,13.924,1.3915,78.5975,16.3139,96.3029,9.1815,87.1214,105.4844
7.5,14.2426,1.4725,83.7058,17.2516,102.4298,9.3434,93.0864,111.7732
7.75,14.5535,1.5541,88.8899,18.1967,108.6406,9.538,99.1026,118.1787
8.0,14.8566,1.6363,94.1387,19.1472,114.9221,9.7685,105.1537,124.6906
8.25,15.152,1.7188,99.4411,20.1014,121.2613,10.0357,111.2256,131.2971
8.5,15.4398,1.8015,104.7865,21.0576,127.6456,10.3386,117.3069,137.9842
8.75,15.72,1.8843,110.1642,22.014,134.0625,10.6743,123.3882,144.7368
9.0,15.9926,1.9671,115.5642,22.9691,140.5004,11.0384,129.462,151.5387
9.25,16.2578,2.0496,120.9766,23.9214,146.9476,11.4255,135.5221,158.3731
9.5,16.5156,2.1318,126.3921,24.8695,153.3933,11.8297,141.5636,165.223
9.75,16.7662,2.2136,131.8016,25.8119,159.8271,12.2447,147.5824,172.0718
10.0,17.0097,2.2947,137.1968,26.7475,166.2391,12.6642,153.5749,178.9033
10.25,17.2461,2.3753,142.5694,27.6751,172.6198,13.0821,159.5377,185.7019
10.5,17.4756,2.4551,147.9119,28.5937,178.9607,13.4928,165.4679,192.4534
10.75,17.6983,2.534,153.2172,29.5021,185.2533,13.8909,171.3624,199.1442
11.0,17.9143,2.612,158.4786,30.3995,191.4901,14.272,177.2181,205.7621
11.25,18.1238,2.689,163.6899,31.2851,197.664,14.6319,183.0321,212.2958
11.5,18.3268,2.7649,168.8453,32.1581,203.7683,14.9671,188.8012,218.7354
11.75,18.5236,2.8397,173.9397,33.0178,209.7972,15.2749,194.5223,225.0721
12.0,18.7143,2.9133,178.9682,33.8636,215.7451,15.5528,200.1923,231.298
12.25,18.899,2.9857,183.9265,34.695,221.6071,15.7993,205.8078,237.4065
12.5,19.0778,3.0568,188.8105,35.5115,227.3788,16.0132,211.3656,243.392
12.75,19.2509,3.1266,193.6168,36.3126,233.056,16.1938,216.8622,249.2499
13.0,19.4184,3.195,198.3423,37.0982,238.6355,16.3411,222.2944,254.9766
13.25,19.5805,3.2621,202.9842,37.8677,244.114,16.4553,227.6587,260.5693
13.5,19.7373,3.3277,207.5401,38.6211,249.489,16.5373,232.9517,266.0262
13.75,19.8889,3.392,212.008,39.3581,254.7581,16.5882,238.1699,271.3463
14.0,20.0355,3.4548,216.3861,40.0787,259.9196,16.6097,243.3099,276.5294
14.25,20.1773,3.5162,220.6731,40.7826,264.972,16.6039,248.3681,281.5758
14.5,20.3143,3.5762,224.8679,41.4699,269.914,16.5729,253.3411,286.487
14.75,20.4466,3.6347,228.9696,42.1406,274.7449,16.5196,258.2253,291.2646
15.0,20.5745,3.6918,232.9777,42.7947,279.4641,16.447,263.0171,295.9111
15.25,20.6981,3.7474,236.8917,43.4322,284.0713,16.3584,267.713,300.4297
15.5,20.8174,3.8017,240.7117,44.0532,288.5666,16.2573,272.3093,304.8239
15.75,20.9326,3.8545,244.4377,44.6579,292.9501,16.1476,276.8025,309.0977
16.0,21.0438,3.9058,248.07,45.2464,297.2222,16.0334,281.1889,313.2556
16.25,21.1512,3.9558,251.6091,45.8188,301.3837,15.9188,285.4649,317.3026
16.5,21.2549,4.0045,255.0555,46.3754,305.4354,15.8083,289.6271,321.2437
16.75,21.3549,4.0517,258.4101,46.9164,309.3782,15.7063,293.6719,325.0844
17.0,21.4514,4.0976,261.6737,47.4419,313.2133,15.6171,297.5962,328.8304
17.25,21.5446,4.1422,264.8475,47.9522,316.942,15.5452,301.3967,332.4872
17.5,21.6344,4.1855,267.9324,48.4476,320.5656,15.4949,305.0707,336.0605
17.75,21.7211,4.2276,270.9298,48.9284,324.0857,15.47,308.6158,339.5557
18.0,21.8046,4.2683,273.8409,49.3947,327.504,15.4742,312.0298,342.9782
18.25,21.8852,4.3079,276.6672,49.8469,330.822,15.5108,315.3112,346.3328
18.5,21.963,4.3462,279.4101,50.2853,334.0416,15.5824,318.4592,349.624
18.75,22.0379,4.3834,282.0712,50.7101,337.1646,15.6912,321.4734,352.8557
19.0,22.1101,4.4194,284.6519,51.1216,340.1928,15.8386,324.3542,356.0315
19.25,22.1798,4.4542,287.1539,51.5202,343.1283,16.0257,327.1026,359.154
19.5,22.2469,4.488,289.5788,51.9062,345.9729,16.2526,329.7203,362.2255
19.75,22.3116,4.5207,291.9283,52.2798,348.7287,16.519,332.2097,365.2477
20.0,22.3739,4.5523,294.204,52.6414,351.3977,16.824,334.5737,368.2217
20.25,22.434,4.5829,296.4077,52.9912,353.9818,17.1663,336.8156,371.1481
20.5,22.4919,4.6125,298.5412,53.3295,356.4832,17.544,338.9392,374.0272
20.75,22.5476,4.6411,300.6059,53.6568,358.9039,17.9551,340.9487,376.859
21.0,22.6014,4.6688,302.6038,53.9732,361.2458,18.3974,342.8484,379.6432
