Age,DBH_Est,Stem,Branch,Leaf,Root,Biomass_Est,CI,Biomass_CI_Lower,Biomass_CI_Upper
0.0,2.0,0.7598,0.1644,0.916,0.2238,2.0641,0.0,2.0641,2.0641
0.25,2.0,0.7598,0.1644,0.916,0.2238,2.0641,0.0,2.0641,2.0641
0.5,2.0003,0.7601,0.1645,0.9161,0.2239,2.0645,0.015,2.0496,2.0795
0.75,2.0122,0.7703,0.1672,0.9209,0.2265,2.085,0.2971,1.7879,2.3821
1.0,2.0838,0.8333,0.1841,0.9497,0.2428,2.21,1.1177,1.0923,3.3277
1.25,2.266,1.0063,0.232,1.0224,0.2869,2.5476,2.3224,0.2252,4.87
1.5,2.5747,1.3412,0.3299,1.1439,0.37,3.185,3.7316,-0.5466,6.9166
1.75,2.9964,1.8865,0.501,1.3072,0.5004,4.195,5.2438,-1.0488,9.4388
2.0,3.5054,2.6848,0.772,1.5006,0.6837,5.6412,6.7648,-1.1236,12.4059
2.25,4.0751,3.7673,1.1691,1.7132,0.9227,7.5723,8.1911,-0.6188,15.7633
2.5,4.6826,5.1496,1.7146,1.9359,1.2167,10.0168,9.4289,0.5878,19.4457
2.75,5.3097,6.8322,2.4244,2.1622,1.5625,12.9813,10.4121,2.5691,23.3934
3.0,5.943,8.8031,3.3071,2.3875,1.9553,16.4529,11.1079,5.345,27.5609
3.25,6.5726,11.0409,4.3649,2.6086,2.3892,20.4035,11.514,8.8894,31.9175
3.5,7.1917,13.5189,5.5939,2.8235,2.8579,24.7942,11.6518,13.1424,36.446
3.75,7.7956,16.2076,6.986,3.0311,3.3555,29.5801,11.5584,18.0218,41.1385
4.0,8.3814,19.0767,8.5301,3.2305,3.876,34.7134,11.2803,23.433,45.9937
4.25,8.9473,22.0969,10.213,3.4216,4.4143,40.1458,10.8689,29.2769,51.0146
4.5,9.4923,25.2403,12.0205,3.6043,4.9656,45.8308,10.3765,35.4543,56.2073
4.75,10.0161,28.4817,13.9383,3.7787,5.5259,51.7245,9.8548,41.8697,61.5793
5.0,10.5188,31.798,15.952,3.945,6.0915,57.7865,9.3526,48.4339,67.1391
5.25,11.0007,35.1689,18.0479,4.1035,6.6596,63.9798,8.9138,55.0661,72.8936
5.5,11.4624,38.5764,20.2131,4.2546,7.2274,70.2715,8.5746,61.6969,78.8461
5.75,11.9046,42.0049,22.4356,4.3987,7.7929,76.6321,8.3603,68.2718,84.9924
6.0,12.328,45.441,24.7044,4.536,8.3544,83.0357,8.2819,74.7538,91.3177
6.25,12.7336,48.873,27.0094,4.667,8.9103,89.4598,8.3363,81.1235,97.796
6.5,13.1221,52.2912,29.3417,4.792,9.4596,95.8845,8.5076,87.3769,104.3921
