Age,DBH_Est,Leaf,LeaflessAGB,StumpRoot,Biomass_Est,CI,Biomass_CI_Lower,Biomass_CI_Upper
0.0,2.0,0.0109,0.3549,0.1352,0.501,0.0,0.501,0.501
0.25,2.0,0.0109,0.3549,0.1352,0.501,0.0,0.501,0.501
0.5,2.0003,0.0109,0.355,0.1353,0.5012,0.0059,0.4953,0.5071
0.75,2.0122,0.0111,0.3609,0.1373,0.5093,0.1179,0.3914,0.6272
1.0,2.0838,0.0121,0.3978,0.1496,0.5595,0.4551,0.1044,1.0147
1.25,2.266,0.0149,0.5024,0.1841,0.7013,1.0037,-0.3023,1.705
1.5,2.5747,0.0205,0.7168,0.2523,0.9896,1.7572,-0.7676,2.7468
1.75,2.9964,0.0299,1.0932,0.367,1.4901,2.7155,-1.2254,4.2056
2.0,3.5054,0.0443,1.6916,0.5407,2.2767,3.8378,-1.5612,6.1145
2.25,4.0751,0.0646,2.5723,0.7843,3.4212,5.0419,-1.6207,8.4631
2.5,4.6826,0.0914,3.7868,1.1055,4.9836,6.2285,-1.2448,11.2121
2.75,5.3097,0.1251,5.3726,1.508,7.0057,7.3063,-0.3006,14.3119
3.0,5.943,0.1658,7.3514,1.9918,9.5089,8.2076,1.3013,17.7165
3.25,6.5726,0.2132,9.7291,2.5543,12.4966,8.8931,3.6035,21.3896
3.5,7.1917,0.267,12.4989,3.1903,15.9561,9.3503,6.6058,25.3064
3.75,7.7956,0.3266,15.6436,3.8934,19.8636,9.5887,10.2748,29.4523
4.0,8.3814,0.3914,19.1387,4.6565,24.1866,9.6343,14.5523,33.8208
4.25,8.9473,0.4608,22.9552,5.472,28.888,9.5238,19.3642,38.4117
4.5,9.4923,0.5342,27.0612,6.3325,33.9279,9.3013,24.6267,43.2292
4.75,10.0161,0.6109,31.4243,7.2309,39.2661,9.0145,30.2517,48.2806
5.0,10.5188,0.6904,36.012,8.1606,44.863,8.7119,36.151,53.5749
5.25,11.0007,0.7722,40.7931,9.1153,50.6805,8.4403,42.2402,59.1209
5.5,11.4624,0.8558,45.7379,10.0895,56.6833,8.2405,48.4427,64.9238
5.75,11.9046,0.9407,50.8191,11.0784,62.8382,8.1437,54.6945,70.9818
6.0,12.328,1.0265,56.0112,12.0774,69.1151,8.1674,60.9477,77.2825
6.25,12.7336,1.113,61.2911,13.0826,75.4867,8.3144,67.1723,83.8011
6.5,13.1221,1.1998,66.6379,14.0907,81.9285,8.5739,73.3546,90.5024
6.75,13.4944,1.2867,72.0329,15.0987,88.4183,8.9262,79.4921,97.3446
7.0,13.8512,1.3734,77.4593,16.1041,94.9368,9.3477,85.589,104.2845
7.25,14.1933,1.4598,82.9023,17.1046,101.4666,9.8147,91.6518,111.2813
7.5,14.5216,1.5456,88.3487,18.0983,107.9926,10.3061,97.6865,118.2987
7.75,14.8366,1.6308,93.787,19.0837,114.5015,10.8041,103.6974,125.3055
8.0,15.1392,1.7152,99.2072,20.0594,120.9817,11.2947,109.6871,132.2764
8.25,15.4299,1.7986,104.6003,21.0244,127.4234,11.7671,115.6563,139.1905
8.5,15.7094,1.8812,109.9589,21.9776,133.8177,12.2134,121.6043,146.0311
8.75,15.9783,1.9627,115.2764,22.9183,140.1574,12.628,127.5294,152.7854
9.0,16.237,2.0431,120.547,23.846,146.4361,13.0071,133.429,159.4432
9.25,16.4862,2.1223,125.7661,24.7601,152.6485,13.3482,139.3003,165.9968
9.5,16.7263,2.2004,130.9296,25.6603,158.7903,13.6503,145.1399,172.4406
9.75,16.9577,2.2773,136.034,26.5463,164.8576,13.9131,150.9445,178.7707
10.0,17.181,2.3529,141.0767,27.4178,170.8474,14.137,156.7105,184.9844
10.25,17.3964,2.4274,146.0552,28.2749,176.7575,14.323,162.4345,191.0805
10.5,17.6045,2.5006,150.9679,29.1174,182.5858,14.4726,168.1132,197.0584
10.75,17.8054,2.5725,155.8131,29.9453,188.3309,14.5875,173.7435,202.9184
11.0,17.9997,2.6432,160.59,30.7587,193.9919,14.6697,179.3222,208.6616
11.25,18.1875,2.7127,165.2976,31.5577,199.568,14.7216,184.8464,214.2895
11.5,18.3693,2.7809,169.9355,32.3423,205.0588,14.7454,190.3134,219.8042
11.75,18.5452,2.848,174.5035,33.1128,210.4643,14.7437,195.7206,225.2079
12.0,18.7155,2.9138,179.0015,33.8692,215.7845,14.7191,201.0654,230.5036
12.25,18.8806,2.9784,183.4296,34.6118,221.0198,14.6742,206.3455,235.694
12.5,19.0406,3.0419,187.788,35.3407,226.1707,14.6119,211.5588,240.7826
12.75,19.1957,3.1042,192.0773,36.0563,231.2378,14.5349,216.7029,245.7727
