Age,DBH_Est,Stem,Branch,Leaf,Root,Biomass_Est,CI,Biomass_CI_Lower,Biomass_CI_Upper
0.0,2.0,0.7598,0.1644,0.916,0.2238,2.0641,0.0,2.0641,2.0641
0.25,2.3165,1.0574,0.2465,1.0424,0.2998,2.646,0.3881,2.2579,3.0341
0.5,2.7129,1.5085,0.381,1.1978,0.4106,3.4978,0.8126,2.6852,4.3105
0.75,3.141,2.0975,0.5705,1.3625,0.5496,4.5801,1.2857,3.2944,5.8659
1.0,3.5874,2.8283,0.8228,1.5315,0.716,5.8985,1.8032,4.0953,7.7017
1.25,4.0449,3.7048,1.1454,1.702,0.9091,7.4614,2.3558,5.1056,9.8172
1.5,4.5089,4.7299,1.545,1.8726,1.1285,9.2759,2.932,6.3439,12.2079
1.75,4.9761,5.9044,2.0274,2.0422,1.3732,11.3473,3.5198,7.8275,14.867
2.0,5.4443,7.2279,2.5975,2.2103,1.6423,13.678,4.1074,9.5706,17.7854
2.25,5.9115,8.6984,3.2591,2.3763,1.9347,16.2685,4.684,11.5845,20.9525
2.5,6.3762,10.3128,4.0149,2.5399,2.2492,19.1169,5.2397,13.8772,24.3566
2.75,6.8374,12.0669,4.867,2.7008,2.5846,22.2193,5.766,16.4533,27.9854
3.0,7.2941,13.9557,5.8161,2.8588,2.9395,25.5702,6.256,19.3143,31.8262
3.25,7.7454,15.9735,6.8626,3.0139,3.3126,29.1625,6.704,22.4586,35.8665
3.5,8.1907,18.1139,8.0056,3.1658,3.7024,32.9877,7.1061,25.8816,40.0937
3.75,8.6295,20.3701,9.2439,3.3145,4.1077,37.0361,7.4597,29.5764,44.4959
4.0,9.0613,22.735,10.5755,3.4599,4.5269,41.2973,7.764,33.5333,49.0613
4.25,9.4858,25.2012,11.9977,3.6021,4.9588,45.7598,8.0193,37.7405,53.7791
4.5,9.9027,27.7612,13.5075,3.741,5.402,50.4117,8.2273,42.1845,58.639
4.75,10.3117,30.4074,15.1015,3.8766,5.8552,55.2406,8.3909,46.8497,63.6315
5.0,10.7127,33.132,16.7757,4.0089,6.3171,60.2337,8.5143,51.7194,68.7479
