Age,DBH_Est,AGB,BGB,Biomass_Est,CI,Biomass_CI_Lower,Biomass_CI_Upper
0,2,0.3658,0.1352,0.501,0,0.501,0.501
1,3.5874,1.8511,0.5725,2.4236,1.0363,1.3873,3.4599
2,5.4443,5.8933,1.6041,7.4974,2.916,4.5814,10.4135
3,7.2941,13.2771,3.3037,16.5807,5.0499,11.5308,21.6307
4,9.0613,24.2537,5.6458,29.8995,6.8366,23.0629,36.7361
5,10.7127,38.613,8.5372,47.1502,7.9844,39.1658,55.1347
6,12.2339,55.8364,11.8509,67.6873,8.577,59.1102,76.2643
7,13.6207,75.242,15.4502,90.6923,8.9942,81.6981,99.6864
8,14.8747,96.0998,19.2049,115.3047,9.6857,105.6191,124.9904
9,16.0014,117.7106,23.0003,140.7108,10.8581,129.8527,151.5689
10,17.0081,139.4548,26.7413,166.1961,12.3687,153.8274,178.5648
11,17.9034,160.8178,30.3538,191.1716,13.9114,177.2602,205.083
12,18.6963,181.396,33.7832,215.1793,15.2123,199.967,230.3916
13,19.396,200.8932,36.9927,237.8859,16.1033,221.7826,253.9892
14,20.0115,219.1092,39.9601,259.0693,16.5284,242.5408,275.5977
15,20.5512,235.9258,42.6751,278.6008,16.5319,262.0689,295.1327
16,21.0232,251.291,45.137,296.4281,16.2456,280.1825,312.6736
17,21.435,265.2055,47.3521,312.5576,15.8765,296.6811,328.4341
18,21.7933,277.7083,49.3314,327.0396,15.6834,311.3563,342.723
19,22.1045,288.866,51.0894,339.9554,15.9248,324.0306,355.8802
20,22.3741,298.7637,52.6425,351.4062,16.7788,334.6274,368.185
21,22.6073,307.497,54.0082,361.5052,18.2833,343.2219,379.7884
22,22.8086,315.1664,55.2039,370.3703,20.3492,350.021,390.7195
23,22.9821,321.873,56.2469,378.1199,22.8262,355.2938,400.9461
24,23.1314,327.7157,57.1536,384.8692,25.5605,359.3087,410.4298
25,23.2596,332.7882,57.9393,390.7275,28.4229,362.3046,419.1504
26,23.3696,337.1787,58.6183,395.7969,31.3135,364.4835,427.1104
27,23.4638,340.9681,59.2035,400.1717,34.1591,366.0126,434.3307
28,23.5443,344.2306,59.7068,403.9373,36.9078,367.0296,440.8451
29,23.6131,347.0328,60.1386,407.1713,39.5242,367.6471,446.6955
30,23.6718,349.4344,60.5084,409.9428,41.9856,367.9571,451.9284
31,23.7218,351.4888,60.8245,412.3132,44.2788,368.0344,456.592
32,23.7643,353.2428,61.0942,414.3371,46.3978,367.9392,460.7349
33,23.8005,354.738,61.324,416.062,48.3421,367.7198,464.4041
34,23.8312,356.0104,61.5195,417.5299,50.1153,367.4146,467.6451
35,23.8572,357.0917,61.6856,418.7772,51.7234,367.0538,470.5006
